name,lat,long,max_temp,humidity,cloudiness,wind_speed,country
Tuatapere,-46.1333,167.6833,48.81,88,98,3.4,NZ
Yumen,40.2833,97.2,82.42,17,36,3.22,CN
Locharbriggs,55.1034,-3.5844,67.44,80,100,2.51,GB
Ponta do Sol,32.6667,-17.1,81.72,68,3,2.86,PT
Sterling,39.0062,-77.4286,89.38,60,1,1.01,US
Roald,62.5833,6.1333,75.11,77,0,8.05,NO
Voh,-20.9667,164.7,61.75,80,0,4.76,NC
Dalvik,65.9702,-18.5286,51.73,99,100,10.42,IS
Miraflores,19.2167,-98.8083,62.02,70,100,1.57,MX
Rundu,-17.9333,19.7667,73.74,16,0,7.99,NA
Carnarvon,-24.8667,113.6333,57.27,62,40,8.05,AU
Cape Town,-33.9258,18.4232,63.27,57,75,5.99,ZA
Mehamn,71.0357,27.8492,46.58,81,34,7.87,NO
Tarpon Springs,28.1461,-82.7568,90.19,74,1,3.0,US
Taoudenni,22.6783,-3.9836,116.02,4,5,5.91,ML
Kodār,16.9833,79.9667,84.27,62,90,9.75,IN
Upernavik,72.7868,-56.1549,46.2,86,100,9.46,GL
Amapá,1.0,-52.0,84.09,65,0,4.36,BR
Quang Ngai,15.1167,108.8,81.05,81,92,4.18,VN
Portoviejo,-1.05,-80.45,72.81,78,95,1.36,EC
Rørvik,64.8621,11.2373,82.38,54,57,10.71,NO
Alice Town,25.7167,-79.3,83.8,68,1,5.61,BS
New Norfolk,-42.7826,147.0587,56.91,59,99,5.01,AU
Huilong,31.8111,121.655,81.03,91,100,25.61,CN
Tuktoyaktuk,69.4541,-133.0374,48.2,87,90,4.61,CA
Taungdwingyi,20.0167,95.55,75.27,94,100,10.78,MM
Meulaboh,4.1363,96.1285,79.07,86,39,4.36,ID
Tarki,42.9442,47.4953,79.14,57,13,17.9,RU
Khatanga,71.9667,102.5,77.09,55,55,10.36,RU
Songkhla,6.8333,100.6667,82.45,89,14,4.56,TH
Katobu,-4.9408,122.5276,73.69,88,14,3.62,ID
Marquette,46.5333,-87.6335,70.36,79,0,5.91,US
Boyolangu,-8.1181,111.8935,73.09,87,56,4.76,ID
Suez,29.9737,32.5263,97.14,23,0,20.56,EG
Aswān,24.0934,32.907,105.78,10,44,16.08,EG
Alofi,-19.0595,-169.9187,66.09,100,53,0.0,NU
Praia da Vitória,38.7333,-27.0667,73.65,83,75,12.12,PT
Lolodorf,3.2333,10.7333,75.51,82,94,5.01,CM
Kushima,31.4583,131.2333,75.04,89,0,3.98,JP
Kiama,-34.6833,150.8667,55.38,71,100,11.3,AU
Klaksvík,62.2266,-6.589,54.52,97,99,13.11,FO
Robertsport,6.7533,-11.3686,79.02,78,84,17.11,LR
Bosaso,11.2842,49.1816,89.58,70,40,10.36,SO
Itapevi,-23.5489,-46.9342,79.61,61,0,12.71,BR
Hilo,19.7297,-155.09,73.13,94,90,3.44,US
Kruisfontein,-34.0033,24.7314,66.63,51,2,3.67,ZA
Baião,-2.7906,-49.6717,94.64,32,8,2.39,BR
Kaitangata,-46.2817,169.8464,43.93,71,86,5.64,NZ
Golfito,8.639,-83.166,81.19,75,80,2.73,CR
Beloha,-25.1667,45.05,63.81,62,90,12.93,MG
Humberto de Campos,-2.5983,-43.4611,90.1,48,17,5.12,BR
Purpe,64.4803,76.6897,57.45,64,98,6.06,RU
Pak Phanang,8.3511,100.202,85.06,75,7,12.44,TH
Ballina,-28.8667,153.5667,58.96,82,0,10.36,AU
Castro,-24.7911,-50.0119,70.16,49,84,12.95,BR
Tha Bo,17.85,102.5814,77.38,89,100,5.35,TH
Tezu,27.9167,96.1667,78.91,85,100,3.78,IN
Kavaratti,10.5669,72.642,81.9,80,100,18.9,IN
Srednekolymsk,67.45,153.6833,43.36,70,100,10.02,RU
Saint-Philippe,-21.3585,55.7679,71.15,74,48,11.63,RE
Harlingen,26.1906,-97.6961,85.95,92,1,0.0,US
Alcúdia,39.8532,3.1214,90.37,53,2,9.89,ES
Kyabé,9.4515,18.9449,69.66,97,100,7.05,TD
Djibouti,11.5,42.5,99.82,37,100,14.67,DJ
Abhā,18.2164,42.5053,69.62,88,75,11.5,SA
La Providencia,28.7167,-111.5833,87.85,45,1,5.3,MX
Talara,-4.5772,-81.2719,72.36,73,0,17.27,PE
Lermontovka,47.1453,134.3383,79.56,63,100,3.15,RU
Puerto Carreño,6.189,-67.4859,80.98,76,84,1.05,CO
Marawi,7.9986,124.2928,71.44,86,100,7.4,PH
Northampton,40.8754,-75.2499,84.65,65,0,3.98,US
Tasiilaq,65.6145,-37.6368,44.76,84,44,4.34,GL
Miles City,46.4083,-105.8406,72.57,33,1,4.61,US
Doka,13.5167,35.7667,76.77,77,100,4.21,SD
Port Elizabeth,-33.918,25.5701,82.69,18,0,8.05,ZA
Mount Isa,-20.7333,139.5,51.57,54,0,0.0,AU
Marsabit,2.3284,37.9899,75.13,36,73,17.27,KE
Ugoofaaru,5.6667,73.0,82.6,75,96,14.38,MV
Touros,-5.1989,-35.4608,83.3,61,16,17.43,BR
Sukhothai,17.25,99.6667,82.81,75,100,10.87,TH
San-Pédro,4.7485,-6.6363,79.97,70,100,10.38,CI
Muzhi,65.3667,64.6667,46.54,81,83,7.9,RU
Vardø,70.3705,31.1107,62.8,89,29,10.85,NO
Cap-aux-Meules,47.3821,-61.8597,68.05,88,90,10.36,CA
Vestmannaeyjar,63.4427,-20.2734,54.59,82,90,5.75,IS
Ormara,25.2088,64.6357,82.15,85,100,12.62,PK
Yangi Marg`ilon,40.4272,71.7189,92.12,24,1,6.91,UZ
Nantucket,41.2835,-70.0995,84.31,48,1,8.05,US
Mae Hong Son,19.3003,97.9685,73.58,99,81,2.04,TH
Khandyga,62.6667,135.6,55.58,69,2,5.68,RU
Tautira,-17.7333,-149.15,73.42,76,18,10.0,PF
Bengkulu,-3.8004,102.2655,76.5,83,2,6.06,ID
Hayden,47.766,-116.7866,72.84,56,1,4.61,US
Lukovetskiy,64.2956,41.9211,60.78,44,37,9.46,RU
Zomba,-15.386,35.3188,66.09,52,100,6.96,MW
Seoul,37.5683,126.9778,83.59,69,0,2.3,KR
Gazojak,41.1875,61.4036,95.41,12,0,16.33,TM
Butterworth,5.3991,100.3638,84.99,82,20,2.3,MY
Tomohon,1.3346,124.8392,68.94,89,78,4.7,ID
Novyy Urgal,51.0736,132.5642,68.23,98,99,2.1,RU
Chuguyevka,44.1653,133.8633,73.92,86,100,3.24,RU
Caucayá,-0.1934,-74.7819,83.44,63,45,1.57,CO
Ancud,-41.8697,-73.8203,40.53,69,70,4.74,CL
Teocaltiche,21.4333,-102.5833,62.11,46,56,5.37,MX
Coyhaique,-45.5752,-72.0662,39.15,75,75,2.3,CL
Celestún,20.8667,-90.4,83.89,67,11,7.31,MX
Balikpapan,-1.2675,116.8289,79.59,78,99,9.69,ID
Salisbury,51.0693,-1.7957,72.68,70,40,13.8,GB
Ouadda,8.0777,22.4007,72.34,95,95,4.03,CF
Alcañiz,41.05,-0.1333,84.43,22,29,11.79,ES
Los Llanos de Aridane,28.6585,-17.9182,74.12,72,40,16.11,ES
Mergen,49.1833,125.2167,68.47,98,100,6.02,CN
Oktyabr'skiy,54.4815,53.471,70.92,48,82,11.34,RU
Barbastro,42.0356,0.1269,92.77,23,3,3.56,ES
Aitape,-3.1374,142.3475,79.3,87,25,6.98,PG
Avera,33.194,-82.5271,86.4,61,14,4.09,US
Batagay-Alyta,67.8006,130.4114,50.65,62,100,10.74,RU
Nehe,48.4833,124.8333,67.14,98,100,5.08,CN
Oistins,13.0667,-59.5333,86.09,70,40,13.8,BB
Port Blair,11.6667,92.75,82.53,85,83,17.81,IN
Severo-Kuril'sk,50.6789,156.125,56.57,98,100,6.89,RU
Nanortalik,60.1432,-45.2371,46.9,76,99,1.54,GL
Vao,-22.6667,167.4833,67.82,60,59,14.81,NC
Bloomsburg,41.0037,-76.4549,84.76,68,0,4.38,US
Casablanca,33.5928,-7.6192,84.42,65,0,18.01,MA
Skibbereen,51.55,-9.2667,67.8,56,94,15.86,IE
São Filipe,14.8961,-24.4956,75.09,79,91,8.43,CV
Rio Grande,-32.035,-52.0986,46.94,53,41,21.25,BR
Kumul,42.8,93.45,92.93,13,4,6.33,CN
Tuskegee,32.424,-85.6916,88.03,59,27,4.34,US
Shache,38.4167,77.2406,91.9,15,1,8.39,CN
Hirara,24.8,125.2833,81.99,89,98,10.98,JP
Leningradskiy,69.3833,178.4167,35.96,98,100,3.36,RU
Khovd,48.0056,91.6419,66.83,60,95,3.18,MN
Marsá Maţrūḩ,31.3525,27.2453,84.4,65,0,14.97,EG
Staryy Nadym,65.6118,72.6842,60.4,51,100,9.73,RU
Balkanabat,39.5108,54.3671,99.46,29,4,5.44,TM
Mezhdurechensk,53.6942,88.0603,56.3,92,74,2.33,RU
Port Alfred,-33.5906,26.891,76.26,29,0,20.13,ZA
Doctor Juan León Mallorquín,-25.4,-55.2667,53.33,77,100,7.16,PY
Edd,13.9297,41.6925,90.28,70,94,11.34,ER
Iqaluit,63.7506,-68.5145,51.53,66,75,8.99,CA
Chokurdakh,70.6333,147.9167,35.87,85,100,10.69,RU
Villaviciosa,43.4813,-5.4357,72.16,66,71,7.23,ES
San Francisco,37.7749,-122.4194,67.87,90,75,1.01,US
Solnechnyy,50.7214,136.6319,67.21,98,100,2.1,RU
San Julián,21.0167,-102.1667,63.55,59,93,4.7,MX
Sola,-13.8833,167.55,79.39,78,72,20.94,VU
Hornepayne,49.2138,-84.7705,70.65,49,0,2.75,CA
Juruti,-2.1522,-56.0922,92.95,36,4,5.06,BR
Aix-les-Bains,45.6834,5.9224,84.63,60,75,3.44,FR
Oriximiná,-1.7656,-55.8661,91.72,39,21,5.61,BR
Hasaki,35.7333,140.8333,75.49,73,85,12.1,JP
Tucano,-10.9631,-38.7867,80.89,58,84,7.67,BR
São Paulo de Olivença,-3.3783,-68.8725,85.59,63,86,2.28,BR
Arrondissement de Lure,47.75,6.5,76.48,57,100,2.3,FR
Wanning,18.8003,110.3967,83.7,78,98,4.61,CN
Alakurtti,66.9672,30.3491,71.64,36,33,1.68,RU
Oranjestad,12.524,-70.027,85.95,74,40,17.27,AW
Westport,41.1415,-73.3579,88.14,58,1,1.01,US
Kara-Tyube,44.6336,45.4369,76.77,37,99,15.19,RU
Soyo,-6.1349,12.3689,82.45,74,88,13.47,AO
Morro Bay,35.3658,-120.8499,66.18,92,37,1.14,US
Biak,-0.9131,122.8766,74.93,76,32,7.18,ID
Pathein,16.7833,94.7333,80.55,86,100,13.89,MM
Wawa,9.9022,4.4192,72.63,91,100,4.74,NG
Poum,-20.2333,164.0167,70.5,66,51,12.95,NC
Waipawa,-41.4122,175.5153,45.23,89,9,5.03,NZ
Carbonia,39.1672,8.5222,90.55,47,82,7.52,IT
Taiyuan,37.8694,112.5603,78.66,69,0,13.42,CN
Itakyry,-24.9333,-55.2167,53.82,85,100,7.76,PY
Kismayo,-0.3582,42.5454,76.33,78,39,20.47,SO
Langsa,4.4683,97.9683,76.17,95,69,2.06,ID
Saldanha,-33.0117,17.9442,60.85,80,100,18.43,ZA
Arraial do Cabo,-22.9661,-42.0278,85.96,47,0,11.5,BR
Abéché,13.8292,20.8324,88.36,44,79,4.88,TD
Chillicothe,39.3331,-82.9824,85.87,58,1,1.01,US
Palmer,42.1584,-72.3287,84.67,55,20,3.44,US
Huejuquilla el Alto,22.6,-103.8667,69.58,50,14,0.58,MX
Constitución,-35.3333,-72.4167,49.12,52,0,9.31,CL
Jiblah,13.9216,44.1467,66.78,77,98,6.29,YE
Mahébourg,-20.4081,57.7,68.29,83,75,10.36,MU
Riberalta,-10.9833,-66.1,84.4,74,21,6.91,BO
Sitka,57.0531,-135.33,57.09,82,75,0.0,US
Rio Rancho,35.2334,-106.6645,78.35,66,75,1.99,US
Bulawayo,-20.15,28.5833,65.25,20,0,8.3,ZW
Popondetta,-8.7537,148.2534,72.48,98,85,2.68,PG
Pimentel,-6.8367,-79.9342,70.09,80,0,3.0,PE
Norman Wells,65.282,-126.8329,51.84,82,75,3.44,CA
Saint-François,46.4154,3.9054,76.48,80,75,12.66,FR
Hanmer Springs,-42.5167,172.8167,38.26,86,35,5.73,NZ
Whitley Bay,55.0397,-1.4471,75.09,76,20,8.05,GB
Bima,-8.4667,118.7167,71.2,86,41,4.38,ID
Leshukonskoye,64.8989,45.7622,48.69,73,100,10.33,RU
Katherine,-14.4667,132.2667,66.52,68,78,0.0,AU
Poros,37.4994,23.4536,100.36,46,0,9.4,GR
Sibolga,1.7427,98.7792,78.12,88,91,2.24,ID
Takoradze,4.8845,-1.7554,80.65,65,100,11.16,GH
Esperance,-33.8667,121.9,48.04,72,84,21.9,AU
Arman',59.7,150.1667,55.29,89,100,10.09,RU
Tessalit,20.1986,1.0114,104.99,18,13,7.74,ML
Taltal,-25.4,-70.4833,61.95,61,0,7.25,CL
Maseru,-29.3167,27.4833,52.77,24,11,6.93,LS
Linden,6.0,-58.3,86.14,60,27,3.09,GY
Asău,46.4333,26.4,88.72,67,93,1.72,RO
Cody,44.5263,-109.0565,86.2,32,1,0.0,US
São José da Coroa Grande,-8.8978,-35.1478,79.23,75,32,9.78,BR
Dalby,-27.1833,151.2667,52.99,84,0,1.99,AU
Nelson Bay,-32.7167,152.15,54.95,95,41,7.61,AU
North Bend,43.4065,-124.2243,57.92,94,90,6.91,US
Dingle,10.9995,122.6711,79.63,80,93,13.58,PH
Alta Floresta,-9.8756,-56.0861,91.22,33,0,8.05,BR
Gbarnga,6.9956,-9.4722,76.55,92,94,4.16,LR
Pak Thong Chai,14.7226,102.0251,77.04,88,98,5.55,TH
Karratha,-20.7377,116.8463,71.6,81,9,8.97,AU
Ribeira Grande,38.5167,-28.7,81.0,61,40,13.8,PT
Acapulco de Juárez,16.8634,-99.8901,82.6,71,93,3.04,MX
Necochea,-38.5473,-58.7368,45.03,74,86,32.97,AR
Açucena,-19.0731,-42.5464,73.92,32,0,3.02,BR
Puerto Madryn,-42.7692,-65.0385,45.59,56,18,29.35,AR
Pangody,65.85,74.4859,57.07,54,11,7.74,RU
Clyde River,70.4692,-68.5914,53.83,71,40,12.66,CA
Prainha,-1.8,-53.48,89.83,45,0,4.38,BR
Guatire,10.4762,-66.5427,85.69,60,33,4.65,VE
La Colmena,-25.8833,-56.8167,59.83,32,76,13.51,PY
Omsukchan,62.5333,155.8,42.46,79,100,5.01,RU
Haapiti,-17.5667,-149.8667,73.13,74,30,10.51,PF
Roswell,34.0232,-84.3616,85.75,80,1,1.01,US
Dossor,47.5272,52.9811,84.22,18,96,18.1,KZ
Måløy,61.9353,5.1136,73.24,88,100,0.6,NO
Imeni Poliny Osipenko,52.4201,136.4853,64.81,94,100,1.36,RU
Nouadhibou,20.931,-17.0347,75.18,73,0,20.71,MR
Arlit,18.7369,7.3853,98.8,29,87,5.1,NE
Flinders,-34.5833,150.8552,55.2,71,100,1.01,AU
Venice,27.0998,-82.4543,90.05,75,20,5.75,US
Ukiah,39.1502,-123.2078,73.36,55,1,0.0,US
Plettenberg Bay,-34.0527,23.3716,63.16,69,0,10.07,ZA
Lázaro Cárdenas,17.9583,-102.2,82.45,76,94,3.98,MX
Bang Krathum,16.5783,100.3003,79.61,83,100,2.01,TH
Airai,-8.9266,125.4092,56.68,81,24,3.11,TL
Sistranda,63.7256,8.834,78.76,90,97,11.39,NO
Pińczów,50.5205,20.5265,86.61,46,41,8.97,PL
Awjilah,29.1081,21.2869,99.16,17,0,8.03,LY
Talnakh,69.4865,88.3972,76.1,59,88,9.46,RU
Sawtell,-30.3833,153.1,50.18,88,1,6.91,AU
Roblin,51.23,-101.3565,74.43,42,0,6.73,CA
Kos,36.8933,27.2889,102.11,52,0,16.2,GR
Teya,60.3778,92.6267,63.16,97,100,4.34,RU
La Ronge,55.1001,-105.2842,64.65,68,90,3.44,CA
Grogol,-7.6011,110.8186,72.7,86,23,4.99,ID
Dori,14.0354,-0.0345,90.64,46,91,11.72,BF
Hofn,64.2539,-15.2082,55.2,79,92,2.1,IS
Monteagudo,-19.8167,-63.9833,55.18,54,100,7.63,BO
Tevaitoa,-16.7833,-151.5,77.47,77,38,10.56,PF
Lata,40.1629,-8.3327,86.04,35,0,12.68,PT
The Valley,18.217,-63.0578,86.14,66,20,14.97,AI
College,64.8569,-147.8028,57.18,84,75,3.44,US
Souillac,-20.5167,57.5167,68.38,83,75,10.36,MU
St. George's,12.0564,-61.7485,85.68,74,20,14.97,GD
Vila Franca do Campo,37.7167,-25.4333,75.61,74,67,7.31,PT
Chernyshevskiy,63.0128,112.4714,69.48,55,9,1.9,RU
Lompoc,34.6391,-120.4579,62.28,92,90,0.0,US
Jimma,7.6667,36.8333,65.23,95,95,1.63,ET
Assiniboia,49.6334,-105.9845,69.71,63,90,6.91,CA
Jvara,41.5251,44.3472,65.14,68,65,6.98,GE
Scottsbluff,41.8666,-103.6672,84.78,61,1,5.75,US
Ipanguaçu,-5.4983,-36.855,95.02,31,0,11.05,BR
Doha,25.2867,51.5333,107.91,48,6,9.22,QA
Navahrudak,53.6,25.8333,68.38,90,97,6.58,BY
Am Timan,11.0297,20.2827,77.67,77,74,10.83,TD
Bajil,15.0584,43.2851,90.54,46,100,14.92,YE
Outlook,51.5001,-107.0513,65.89,38,1,10.83,CA
Half Moon Bay,37.4636,-122.4286,68.7,88,1,0.0,US
São Félix do Xingu,-6.6447,-51.995,93.07,26,63,4.74,BR
Campoalegre,2.6849,-75.3231,72.75,93,100,1.03,CO
Chapais,49.7834,-74.8492,55.18,46,64,8.72,CA
Makkah al Mukarramah,21.4267,39.8261,96.69,33,91,7.94,SA
Aksarka,66.5606,67.7975,52.59,76,100,10.25,RU
Farmington,36.7281,-108.2187,71.78,74,1,4.61,US
Imbituba,-28.24,-48.6703,62.49,94,100,14.2,BR
Butembo,0.15,29.2833,67.73,67,91,2.01,CD
Pawai,24.2667,80.1667,76.05,91,100,13.31,IN
Gōtsuchō,35.0,132.2167,76.05,91,50,3.47,JP
Salalah,17.0151,54.0924,80.69,89,75,8.05,OM
Ahipara,-35.1667,173.1667,54.57,76,9,11.23,NZ
Atar,20.5169,-13.0499,108.41,11,3,5.82,MR
Olafsvik,64.8945,-23.7142,53.67,71,57,15.48,IS
Richards Bay,-28.783,32.0377,71.62,43,7,17.9,ZA
Gorin,51.1983,136.6669,66.52,98,100,2.59,RU
Houma,29.5958,-90.7195,89.01,76,1,5.75,US
Prince George,53.9166,-122.753,53.26,99,40,4.61,CA
Ishigaki,24.3448,124.1572,82.92,85,98,6.35,JP
Sarangani,5.4033,125.4636,84.47,74,96,11.25,PH
Grindavik,63.8424,-22.4338,58.95,71,0,14.97,IS
Arawa,-6.2132,155.5367,76.17,93,44,2.73,PG
Vanimo,-2.6741,141.3028,78.37,90,65,6.69,PG
Gimli,50.6336,-96.9907,74.05,77,0,2.3,CA
Ambilobe,-13.2,49.05,73.08,73,64,2.06,MG
Tazovsky,67.4667,78.7,42.6,96,100,15.82,RU
Damietta,31.4165,31.8133,87.69,58,0,13.78,EG
Urcos,-13.6861,-71.6228,57.09,43,5,5.17,PE
Hay River,60.8156,-115.7999,55.38,67,75,8.05,CA
Laas,46.6166,10.7002,72.34,68,62,5.93,IT
Nioro,13.35,-15.75,95.22,43,34,7.43,GM
Grand Gaube,-20.0064,57.6608,68.4,80,56,8.99,MU
Gempol,-7.1827,111.6137,73.04,83,19,2.64,ID
Orlik,52.5178,99.825,57.4,88,37,2.46,RU
Lavrentiya,65.5833,-171.0,43.29,99,100,5.55,RU
Kuzovatovo,53.5468,47.6866,71.4,56,94,6.64,RU
Chimoio,-19.1164,33.4833,60.66,88,75,4.61,MZ
Oodweyne,9.4092,45.064,78.39,42,97,23.04,SO
Tineo,43.3376,-6.4145,63.79,67,86,6.44,ES
Naberera,-4.2,36.9333,72.93,35,79,11.7,TZ
Masingbi,8.7833,-11.95,78.98,92,75,6.17,SL
Assiut,27.181,31.1837,98.78,16,0,14.83,EG
Abu Samrah,35.3029,37.1841,96.85,20,0,19.91,SY
